zone_from,zone_to,travel_time
"ADL","ADL","1"
"ADL","BNE","3"
"ADL","DRW","3"
"ADL","HBA","4"
"ADL","MEL","1"
"ADL","NC1","3"
"ADL","NC2","4"
"ADL","NC3","5"
"ADL","NC4","6"
"ADL","NC5","7"
"ADL","NC6","8"
"ADL","NT1","4"
"ADL","NT2","5"
"ADL","PER","5"
"ADL","QC1","4"
"ADL","QC2","5"
"ADL","QC3","6"
"ADL","QC4","7"
"ADL","QC5","8"
"ADL","QC6","9"
"ADL","SC1","1"
"ADL","SC2","2"
"ADL","SC3","3"
"ADL","SC4","4"
"ADL","SC5","5"
"ADL","SYD","2"
"ADL","TC1","5"
"ADL","VC1","2"
"ADL","VC2","3"
"ADL","VC3","4"
"ADL","WC1","6"
"ADL","WC2","7"
"ADL","WC3","8"
"ADL","WC4","9"
"ADL","WC5","10"
"BNE","ADL","3"
"BNE","BNE","1"
"BNE","DRW","6"
"BNE","HBA","6"
"BNE","MEL","2"
"BNE","NC1","2"
"BNE","NC2","3"
"BNE","NC3","4"
"BNE","NC4","5"
"BNE","NC5","6"
"BNE","NC6","7"
"BNE","NT1","7"
"BNE","NT2","8"
"BNE","PER","6"
"BNE","QC1","1"
"BNE","QC2","2"
"BNE","QC3","3"
"BNE","QC4","4"
"BNE","QC5","5"
"BNE","QC6","6"
"BNE","SC1","4"
"BNE","SC2","5"
"BNE","SC3","6"
"BNE","SC4","7"
"BNE","SC5","8"
"BNE","SYD","1"
"BNE","TC1","7"
"BNE","VC1","3"
"BNE","VC2","4"
"BNE","VC3","5"
"BNE","WC1","7"
"BNE","WC2","8"
"BNE","WC3","9"
"BNE","WC4","10"
"BNE","WC5","11"
"DRW","ADL","3"
"DRW","BNE","6"
"DRW","DRW","1"
"DRW","HBA","7"
"DRW","MEL","4"
"DRW","NC1","6"
"DRW","NC2","7"
"DRW","NC3","8"
"DRW","NC4","9"
"DRW","NC5","19"
"DRW","NC6","11"
"DRW","NT1","1"
"DRW","NT2","2"
"DRW","PER","8"
"DRW","QC1","7"
"DRW","QC2","8"
"DRW","QC3","9"
"DRW","QC4","10"
"DRW","QC5","11"
